ID de Unidad,Tipo,Cluster,Promessa de Entrega,Promessa,Altura,Comprimento,Largura,Peso,Volume,Valor,Rua,Número,Referências,Bairro,Cidade,Estado,CEP,Latitude,Longitude,Precisão,Tipo de Endereço,Status,Hora de Saída,Hora de Chegada,Facility de Origem,Facility,ID de Nodo,Tipo de Nodo,Vigencia Nodo,Exchange Point,Devolução,Tipo de unidad,Agenda,Group,Reverter,Ciclo,Cheapest,Ciclo ETA,Data ETA
46454515007,shipment,A6,13-02-2026 - 16-02-2026,13-02-2026 - 16-02-2026,12,35,40,1.050000,0.016156,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596504,-46.597522,,business,at_station|sorting,14 Feb 26 02:58,14 Feb 26 04:58,BRSP02,SSP21,1725611879,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,14-02-2026
46433596736,shipment,A8,14-02-2026 - 20-02-2026,23-02-2026 - 24-02-2026,10,10,11,0.625000,0.000967,,,,,Bosque da Saúde,São Paulo,São Paulo,04127001,-23.601550,-46.632889,,business,on_way,23 Feb 26 00:31,23 Feb 26 03:30,BRXSP9,SSP21,226815510,buyer,-,BRNSP1567,,general_merchant,-,,Não,AM1,Sim,AM1,23-02-2026
46455776768,shipment,A8,18-02-2026 - 20-02-2026,23-02-2026 - 23-02-2026,8,23,21,1.000000,0.003864,,,,,Vila da Saúde,São Paulo,São Paulo,04145011,-23.614544,-46.629672,,business,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,167424520,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46370739216,shipment,A5,14-02-2026 - 20-02-2026,14-02-2026 - 20-02-2026,4,18,14,0.016000,0.001008,,,,,Moema,São Paulo,São Paulo,04524002,-23.600783,-46.748472,,residential,at_station|sorting,15 Feb 26 01:20,15 Feb 26 03:30,BRXSP9,SSP21,1299789529,buyer,-,,,general_merchant,-,,Não,AM1,Sim,AM1,15-02-2026
46456265548,shipment,A14,23-02-2026 - 24-02-2026,23-02-2026 - 24-02-2026,8,20,16,0.425000,0.002560,,,,,Cambuci,São Paulo,São Paulo,01524001,-23.565465,-46.619126,,business,at_station|sorting,23 Feb 26 01:21,23 Feb 26 03:21,BRXSP9,SSP21,303954019,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46438351826,shipment,A8,11-02-2026 - 18-02-2026,11-02-2026 - 18-02-2026,5,17,12,0.190000,0.001020,,,,,Vila Clementino,São Paulo,São Paulo,04044000,-23.597743,-46.638654,,business,at_station|sorting,14 Feb 26 02:48,15 Feb 26 03:30,BRXSP9,SSP21,252362348,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,15-02-2026
46457420764,shipment,A6,16-02-2026 - 20-02-2026,23-02-2026 - 23-02-2026,3,17,12,0.146000,0.000612,,,,,Ipiranga,São Paulo,São Paulo,04216030,-23.596503,-46.597612,,business,on_way,21 Feb 26 03:00,21 Feb 26 04:30,BRXSP1,SSP21,2004307334,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46458855820,shipment,A8,18-02-2026 - 18-02-2026,18-02-2026 - 18-02-2026,12,31,30,2.060000,0.011160,,,,,Vila Mariana,São Paulo,São Paulo,04119001,-23.595249,-46.634944,,residential,at_station|sorting,17 Feb 26 02:21,17 Feb 26 04:30,BRXSP10,SSP21,3167626706,buyer,-,BRNSP943,,general_merchant,-,,Não,AM1,Não,AM1,17-02-2026
46448496338,shipment,A14,17-02-2026 - 20-02-2026,17-02-2026 - 20-02-2026,45,50,50,5.620000,0.112500,,,,,Cambuci,São Paulo,São Paulo,01522000,-23.562563,-46.617181,,business,at_station|sorting,21 Feb 26 00:33,21 Feb 26 04:30,BRXSP1,SSP21,240681900,buyer,-,,,general_merchant,-,,Sim,AM1,Não,AM1,23-02-2026
46370739272,shipment,A5,14-02-2026 - 20-02-2026,14-02-2026 - 20-02-2026,2,35,21,0.330000,0.001470,,,,,Jardim monte Kemel,São Paulo,São Paulo,04524002,-23.608802,-46.734997,,residential,at_station|sorting,15 Feb 26 02:56,15 Feb 26 04:30,BRXSP10,SSP21,1299789529,buyer,-,,,general_merchant,-,,Não,AM1,Sim,AM1,15-02-2026
